title,authors,journal_info,abstract,pmid,search_query
Health and Social Support in the Aftermath of the Maui Wildfires.,"Juarez Ruben, Phankitnirundorn Krit, Ozorio Dutra Samia Valeria, Bond-Smith Daniela, Lee Alison G et al.",JAMA network open (2025),"Climate-driven wildfires are increasing in frequency and severity, but their association with midterm and long-term health trajectories during the course of recovery remain poorly characterized, particularly in underserved populations.",40768146,Social Anxiety Disorder
Videoconferencing-delivered cognitive behavioural therapy for social anxiety disorder: a randomised controlled trial.,"Winter Halaina R, Norton Alice R, Wootton Bethany M",Cognitive behaviour therapy (2025),"Videoconferencing-delivered cognitive behaviour therapy (vCBT) has the potential to overcome barriers to accessing treatment for social anxiety disorder (SAD). The present study examines the efficacy and acceptability of vCBT for SAD in a randomised controlled trial. Seventy-eight participants were randomised to a vCBT condition or waitlist control group (61.8% female, 34.2% male, 3.9% non-binary; Mage = 39.19, SD = 12.28). On the Social Interaction Anxiety Scale and Social Phobia Scale-short form (SIAS-6; SPS-6), vCBT within-group analyses indicated large effect sizes from pre-treatment to post-treatment on the SIAS-6 (Cohen's d = 0.95; 95% CI: 0.45-1.41) and SPS-6 (d = 0.90; 95% CI: 0.41-1.37). The between-group effect size at post-treatment was large on the SPS-6 (d = 1.01; 95% CI: 0.51-1.47) and medium on the SIAS-6 (d = 0.55; 95% CI: 0.09-1.00). At post-treatment, 57% of participants in the vCBT condition no longer met criteria for SAD and 68% at 3-month follow-up. Benchmarking analyses indicated similar treatment effect sizes to in-person CBT for SAD. Participants rated the program as acceptable and treatment completion rates were high. The results suggest that vCBT may be a viable remote treatment option for individuals with SAD.",40768136,Social Anxiety Disorder
Associations Between the SRS-2 and the ASEBA Adult Self Report: Implications for Interpretation of the SRS-2 in Autistic Adults.,"Lampinen Linnea A, Ederer Jeannine E, Bal Vanessa H",Journal of autism and developmental disorders (2025),"The Social Responsiveness Scale, 2nd Edition (SRS-2) is widely used to characterize autistic features and screen for autism in clinical and research settings. Previous research indicates that scores on the parent-report SRS-2 School-age form are associated with internalizing and externalizing symptoms in both autistic and non-autistic children, yet less is known about the self-report SRS-2-Adult (SRS-2-A). Considering the widespread use of the SRS-2-A for a variety of different research and clinical purposes, examining how non-autism-specific factors affect SRS-2-A scores is warranted.",40767897,Social Anxiety Disorder
Treatment Use and Preference in a Diverse Sample of Women With Mood Disorders.,"Ammerman Robert T, Deichen Megan E, Boyd Rhonda C, Longoria Kayla D, Wagner-Schuman Melissa et al.",The Journal of clinical psychiatry (2025),"Objectives: To examine differences in treatment use and preference among women with mood disorders based on race, ethnicity, and type of health insurance. Methods: Women (N = 2,877) with depression, anxiety, and bipolar disorders were surveyed in primary care and specialty clinics affiliated with the National Network of Depression Centers from January 2018 to December 2020. Logistic regression was employed to examine the probabilities of Black, White, and Hispanic women, who varied on public (government-funded) vs private insurance, using and preferring medication, psychotherapy, or complementary treatments. Results: Black women had lower odds of receiving medications for treatment of all mood disorders, while White women had higher odds. For example, in treatment of depression, the odds ratio (OR) for Black women was 0.435 (P=.011), while the OR for White women was 2.048 (P=.009). Hispanic women had higher odds of using complementary treatments than other women. For example, in treatment of anxiety, their OR was 2.346 (P=.008). Across mood disorders, government-funded (Medicaid/Medicare) coverage was associated with greater use of psychotherapy and complementary treatments (ORs ranging from 1.529 to 5.011) as well as greater medication use for bipolar disorder (OR=5.805, P=.027). Psychotherapy was preferred by the majority of all women (55.5%), although preferences for other treatments differed between racial/ethnic groups. Conclusions: Research is needed regarding the degree to which clinicians are offering varied treatments to diverse women with mood disorders and how clinicians consider women's preferences. Results highlight the necessity for treatment that integrates culturally based values and preferences, along with policies that ensure treatment access for women who are privately insured.",40767838,Social Anxiety Disorder
"Oral manifestations of COVID-19 vaccinated individuals, post-infection, and different variants: a Brazilian population study.","Melo Larissa Di Carvalho, Santos Juliana Amorim Dos, Silveira Bruna Bastos, Castro Vitória Tavares de, Normando Ana Gabriela Costa et al.",Brazilian oral research (2025),"This cross-sectional study aims to investigate the prevalence of oral manifestations in a sample of the Brazilian population with COVID-19. Adults diagnosed with COVID-19 through real-time PCR/serological tests were invited to participate. The online questionnaires were distributed at different times to analyze and compare SARS-CoV-2 variants considering the period of prevalence of these variants in Brazil. A total of 846 participants were included, of whom 539 were diagnosed before the Omicron variant. In total, 47.28% were vaccinated with at least two doses. The prevalence of oral manifestations was 52.6% (95%CI: 49.23-55.95), and the most common manifestations included taste disorder (38.06%; 95%CI: 34.85-41.38), xerostomia (17.61%; 95%CI: 15.19-20.32), and halitosis (11.58%; 95%CI: 9.59-13.92). The prevalence of persistent symptoms in post-COVID-19 was 12.1% (95%CI: 10.0-14.4) for taste disorder and 5.4% (95%CI: 4.1-7.1) for xerostomia. A significant association was found between females and persistent taste disorder (p = 0.0084) and oral manifestation and depression/anxiety (OR = 1.855, 95%CI: 1.267-2.717, p = 0.002), worse oral hygiene (OR = 1.729, 95%CI: 1.189-2.516, p = 0.004), and medication use (OR = 1.630, 95%CI: 1.123-2.367, p = 0.010) (p < 0.0001). In the Alpha, Beta, Gamma, and Delta variants, compared with the Omicron variant, taste disorder and xerostomia were less present when toothbrushing habits remained unchanged or improved (p < 0.0001). Oral manifestations in patients with COVID-19 were associated with depression/anxiety, worse oral hygiene, and medication, all of which reinforce its multifactorial etiopathogenesis.",40767661,Social Anxiety Disorder
Untangling the digital connection: The longitudinal relationships between social well-being and internet gaming problems in adolescents.,"An Haoyu, Wang Xin, Yang Xue",The International journal of social psychiatry (2025),"Internet gaming disorder (IGD) and binge gaming (BG) have evolved into an emerging concern among global children and adolescents. However, studies on the interpersonal/social factors of these internet gaming problems are lacking.",40767411,Social Anxiety Disorder
Freedom and mental health: an overview of the impact of fundamental rights on psychological wellbeing.,Mohiyeddini Changiz,Frontiers in psychology (2025),"Freedom, in its many forms, is a cornerstone of human rights. These include, among others, freedom of speech, freedom of thought, freedom of assembly, and freedom from discrimination. However, these freedoms are not only legal or political constructs but are also deeply embedded in the socio-cultural, religious, political, historical, and hence psychological composition of human beings. Rather than examining all of the many manifestations of freedom at once, this paper aims to explore the impact of a few specific freedoms-including freedom of speech, thought, assembly, movement, and protection from arbitrary arrest-on mental health and wellbeing. The objective of this commentary is to summarize existing evidence on how these freedoms support mental health and to highlight areas where the restriction of freedoms is linked to psychological distress, including anxiety, depression, and post-traumatic stress disorder. Furthermore, it also discusses the debilitating effects of self-censorship, discrimination, lack of access to education, and arbitrary detention on mental health. Despite substantial evidence underscoring the importance of freedoms for mental wellbeing, there remains a pressing need for comprehensive research to understand the complex associations between different aspects of freedom and their individual and collective impact on mental health. The discussion herein aims to provide a foundation for future studies and to inform policy interventions that protect both freedom and psychological wellbeing.",40766012,Social Anxiety Disorder
Exploring the Sociodemographic Factors Influencing Women's Experiences With Domestic Violence and Their Help-Seeking Behaviors at the National Guard Health Hospitals.,"Alsupiany Awateif O, Aseeri Hatem, Ababtain Hind A, Shamou Jinan Z, Abusulaiman Roaa M et al.",Cureus (2025),"Background Domestic violence is recognized as a public health issue. It has adverse impacts on women's physical, mental, and reproductive well-being. This study aimed to ascertain the sociodemographic attributes of domestic violence in women who seek help at the National Guard Health (NGH) hospitals, as well as examine the psychological condition of the victims. Methods This was a retrospective-prospective, descriptive cross-sectional study conducted in four regions in Saudi Arabia (Riyadh, Jeddah, Al Madinah, and Al-Ahsa). The data collection tool was a questionnaire consisting mainly of three sections (the sociodemographic characteristics, abuse characteristics, and victim's knowledge and ways to get help), developed and validated by the study authors and field experts. Data were collected from the electronic data extraction system (BestCare) and through structured phone interviews conducted by a well-trained research team. Results A total of 292 women participated, with a median age of 31 years (IQR, 26-38). A percentage of 8.5% reported suffering violence from many people. Husbands were the foremost perpetrators (196, 67.1%), and physical violence represented 166 cases (57%). Among the victims, the prevalence of anxiety/spectrum disorder increased from 15 (5.2%) to 22 (7.5%); 59 (20.1%) reported suicide attempts, while 18 (6.1%) had suicidal ideation. Almost one-third (112, 33.3%) of the victims were referred to social service follow-up, 74 (22%) to the family therapy clinic, 33 (9.8%) to the psychiatry outpatient department, and 28 (8.3%) were admitted for protection. Violence was ongoing in 36 (12.3%) of the victims; hospitals and police were the primary sources of getting help (56, 18.4%). Filing a legal complaint and involving family members were cited as the most helpful way to help stop the violence, followed by health facility intervention as the next most beneficial modality by 34 (11.4%) of the victims, in which psychiatry was the most helpful. Victims know about the domestic violence team services mainly through official referrals from other teams, while the media has almost no role. Conclusion Our findings showed that domestic violence was prevalent, notably in the form of physical abuse. Most victims were the same age or younger than their perpetrators, and some had the same education level. Most of the perpetrators were military-employed husbands. The findings also reveal a mixed pattern in how victims of abuse sought help. Suicidal attempts and ideation were also commonplace among the victims. Hospitals and police were the primary sources of help for the victims. Although social media can play a crucial role in raising awareness and providing education, this aspect has often been overlooked.",40765599,Social Anxiety Disorder
Daily associations between peer victimization and anxious affect among adolescents: The role of social threat sensitivity.,"Schacter Hannah L, Marusak Hilary A, Gowatch Leah, Jovanovic Tanja",Development and psychopathology (2025),"Adolescents frequently victimized by peers are two to three times more likely to develop an anxiety disorder than their non-victimized peers. However, the fine-grained mechanisms that explain how peer victimization confers risk for anxiety in adolescents' daily lives are not well-understood. Leveraging an intensive longitudinal design, this study examined same- and cross-day links between peer victimization and anxiety, investigating social threat sensitivity as a potential underlying mechanism. One hundred ninety-five adolescents (Mage = 16.48, SDage = 0.35; 66% female, 27% male, 11% non-binary, identifying with another gender; 48% White, 20% Asian, 15% Black, 17% identifying with another race/ethnicity) completed brief daily assessments of peer victimization, social threat sensitivity, and anxious affect for 14 days. Multilevel analyses indicated that adolescents reported greater anxious affect on days when they experienced peer victimization compared to days without victimization. Although peer victimization did not predict anxious affect the following day, it was associated with increased anxious affect two days later. Social threat sensitivity significantly mediated the same-day, but not cross-day, association between peer victimization and anxious affect, controlling for prior-day threat sensitivity and anxiety. The findings suggest that heightened social vigilance partially accounts for anxious affect in adolescents facing peer victimization in daily life.",40765447,Social Anxiety Disorder
Exploring the nucleus accumbens circuit and oxytocin therapy in a Sapap3 knockout mouse model of trichotillomania.,"Wang Yuan, Yu Jingjing, Ma Rui, Chen Yundong, Lu Shihao et al.",Scientific reports (2025),"Trichotillomania (TTM), an understudied psychiatric disorder, was investigated using Sapap3 knockout (KO) mice to elucidate nucleus accumbens (NAc) circuit dysfunction and oxytocin's therapeutic potential. Under aversive conditions, KO mice exhibited TTM-like behavioral phenotypes compared to wild-type (WT) controls: elevated anxiety-like behavior (reduced total distance 33328.45 ± 6703.97 mm vs. WT 47787.22 ± 12221.33 mm; decreased standing episodes 34.20 ± 19.41 vs. WT 58.10 ± 15.55; increased immobility duration 175.05 ± 54.46 s vs. WT 90.23 ± 70.22 s, all p < 0.05), excessive grooming duration (467.43 ± 94.98 s vs. WT 391.62 ± 86.44 s, p < 0.05), and impaired social interaction characterized by elevated aggression (70 ± 10% victory rate in tube-dominance test vs. WT, p < 0.05). Calcium imaging revealed NAc neuronal hypoactivity (peak ΔF/F0: 2.44 ± 1.67% vs. WT 6.92 ± 2.08%, p < 0.05). Molecular analyses revealed: (1) Dopaminergic signaling alterations (increased dopamine: 26.95 ± 2.04 pg/mL vs. WT 22.43 ± 1.85 pg/mL, p < 0.05; D1 receptor up-regulation 1.29-fold and D2 down-regulation 0.89-fold). (2) Synaptic plasticity disruptions (CREB overexpression: 1.71-fold, p < 0.01; SHANK upregulation: 1.18-fold, p < 0.05). (3) SAPAP3-SHANK3 interaction deficits confirmed by immunofluorescence (compensatory SHANK3 up-regulation 1.46-fold). Oxytocin effects were paradoxical: acute administration exacerbated total grooming duration (550.45 ± 33.65 s vs. KO baseline 467.43 ± 94.98 s, p < 0.05) but reduced grooming bouts (50.80 ± 28.20 vs. 95.30 ± 31.92, p < 0.01) and attenuated aggression (victory rate against WT decreased to 65 ± 5%). Sex-stratified analysis revealed enhanced grooming severity in female KO mice (the grooming duration 526.59 ± 25.69 s vs. male KO 408.26 ± 104.33 s, p < 0.05). These findings highlight NAc circuit dysfunction and complex oxytocin effects in TTM, suggesting therapeutic targets while emphasizing the need for sex-stratified.",40764792,Social Anxiety Disorder
Tommy's National Rainbow Clinic Study: a protocol for a multi-site cohort study to evaluate a specialist antenatal service for women and families following a stillbirth or neonatal death.,"Barron Rebecca L, Tomlinson Emma, Bailey Emilie, Heazell Alexander Ep",BMJ open (2025),"In the UK, each year, approximately 2250 babies are stillborn, and there are an additional 1150 neonatal deaths. The death of a baby before or shortly after birth is a profoundly distressing experience for women and their families and is invariably followed by a period of grief. Most women who have experienced the loss of a baby will embark on another pregnancy, usually within a year. Parents need specialist support from doctors and midwives in a future pregnancy to reduce the risk of pregnancy complications and meet care and support needs. The Rainbow Clinic aims to meet these needs and was first established in 2013 at Saint Mary's Hospital, Manchester. Initial studies have shown that this model of care improves pregnancy outcomes, decreases anxiety levels and is associated with a strong social return on investment. The Tommy's National Rainbow Clinic Study aims to evaluate the care provided within this new model, to examine women's experiences of care and identify areas of improvement and measure the impact on pregnancy outcomes for mothers and babies.",40764070,Social Anxiety Disorder
Psychometric validation of the Arabic version of the GAD-7 among Lebanese adolescents.,"Khoury-Malhame Myriam El, Hallit Souheil, Sanchez-Ruiz Maria-Jose, Hajj Sleiman El, Doumit Rita",PloS one (2025),"Anxiety is one of the major global mental health concerns, particularly amidst accumulating adversities. It is the leading cause of distress in adolescents worldwide and has a profound deleterious impact on their mental and physical health and wellbeing. This paper seeks to identify and validate the psychometric properties of the Arabic version of the GAD-7 in Lebanon, aiming to improve the much-needed overall mental health screening in Middle Eastern countries.",40763187,Social Anxiety Disorder
Symptom Reduction and Deprescribing in a Patient With Treatment-Resistant Depression Using Sublingual Ketamine Troches: A Case Report.,Francis Elizabeth,Cureus (2025),"Treatment-resistant depression (TRD) remains a significant clinical challenge, often accompanied by polypharmacy and comorbid anxiety or trauma-related disorders. This report describes a 37-year-old male with longstanding major depressive disorder (MDD), post-traumatic stress disorder (PTSD), and social anxiety disorder who demonstrated limited response to traditional pharmacologic strategies, including escitalopram, quetiapine, trazodone, and gabapentin. After initiating low-dose sublingual ketamine troches, the patient experienced clinically meaningful improvements in depression and anxiety scores. These improvements were accompanied by successful tapering and discontinuation of four psychotropic medications. No adverse effects were reported. This case highlights the potential utility of sublingual ketamine in reducing symptom burden and supporting deprescribing efforts in complex TRD presentations.",40761981,Social Anxiety Disorder
"Effectiveness of mHealth interventions targeting physical activity, sedentary behaviour, sleep or nutrition on emotional, behavioural and eating disorders in adolescents: a systematic review and meta-analysis.","Baumann H, Singh B, Staiano A E, Gough C, Ahmed M et al.",Frontiers in digital health (2025),"Mental health conditions are highly prevalent among adolescents, affecting one in seven individuals and accounting for 15% of the global disease burden in this age group. The promotion of health behaviours including physical activity, nutrition, and sleep, and reduction of sedentary behaviour, has been shown to significantly improve symptoms of mental health conditions in adolescents. However, addressing this public health challenge at a population level requires scalable interventions, such as mobile health (mHealth) interventions. However, the effectiveness of mHealth interventions in achieving clinically meaningful mental health improvements for adolescents with emotional, behavioural, or eating disorders remains unclear. Therefore, this systematic review and meta-analysis evaluated the effectiveness of mHealth behaviour change interventions aimed at improving physical activity (PA), sedentary behaviour (SB), nutrition, or sleep on outcomes related to emotional, behavioural, and eating disorders in adolescents.",40761810,Social Anxiety Disorder
Art therapy to reduce burnout and mental distress in healthcare professionals in acute hospitals: a randomised controlled trial.,"Tjasink Megan, Carr Catherine Elizabeth, Bassett Paul, Soosaipillai Gehan, Ougrin Dennis et al.",BMJ public health (2025),"Burnout and mental distress are prevalent among healthcare professionals (HCPs), particularly in acute hospital settings. This study evaluated the effectiveness of a structured group art therapy intervention in reducing burnout and associated mental distress in HCPs.",40761359,Social Anxiety Disorder
Improving Treatment Adherence in Youths With Multidrug-Resistant Tuberculosis With Psychosocial Intervention.,"Dhumal Gauri, Nevrekar Neetal, Gupte Nikhil, Shrisunder Rechel, Kulkarni Prashant et al.",Brain and behavior (2025),"Multidrug-resistant tuberculosis (MDR-TB) deeply impacts the well-being of adolescents and young adults (AYA), resulting in poor treatment adherence. Identifying psychosocial challenges and preferred interventions is essential to enhance treatment adherence and outcomes in this unique group.",40760794,Social Anxiety Disorder
The Core Social Fears Scale for Adolescents: Psychometric appraisal based on community and clinical samples.,"Vagos Paula, Figueiredo Diana Vieira, Cunha Marina",European child & adolescent psychiatry (2025),"This study presents the Core Social Fears Scale for Adolescents (CSFS-A), developed to assess the Interaction, Performance, and Observation social fears that may be core to social anxiety in adolescence. This measure also assesses General Avoidance of social situations. A school-based sample of 3009 adolescents (53.7% female; age range: 12-19 years) and a clinical sample of 162 adolescents diagnosed with social anxiety disorder (70.4% female; age range: 15-18 years) provided information on anxiety experienced and avoidance engaged in during in social events; some participants also reported on another measure of social anxiety and fears of negative and positive evaluation. Confirmatory factor analyses supported a three-factor model reflecting correlated core social fears, as well as a unidimensional model for general avoidance, as applied to community and clinical participants. These models were invariant based on sex, age-groups (early, middle, and late adolescence), and clinical status. All measures had at least good internal consistency values. Evidence of convergent validity was found based on correlations between the scale's measures and measures of social anxiety and fear of negative and positive evaluation. The Core Social Fears Scale for Adolescents proved to be a psychometrically robust measure for the assessment and characterization of the adolescents' experience of social anxiety.",40759831,Social Anxiety Disorder
Genetic overlap between functional impairment and depression and anxiety symptom severity: evidence from the GLAD Study.,"Skelton Megan, Mundy Jessica, Ter Kuile Abigail R, Adey Brett N, Armour Chérie et al.",Psychological medicine (2025),"Functional impairment in daily activities, such as work and socializing, is part of the diagnostic criteria for major depressive disorder and most anxiety disorders. Despite evidence that symptom severity and functional impairment are partially distinct, functional impairment is often overlooked. To assess whether functional impairment captures diagnostically relevant genetic liability beyond that of symptoms, we aimed to estimate the heritability of, and genetic correlations between, key measures of current depression symptoms, anxiety symptoms, and functional impairment.",40759531,Social Anxiety Disorder
"Credibility and expectations: Important factors for understanding clinical response, treatment completion, and dropout in internet-delivered psychological interventions.",Dear Blake F,Journal of consulting and clinical psychology (2025),"Several large studies have identified perceptions of treatment credibility and treatment outcome expectations as potential moderators of treatment response in internet-delivered psychological treatment. However, no studies have specifically focused on these two constructs and their potential roles in the moderation of treatment-related change, treatment completion, or study dropout.",40758299,Social Anxiety Disorder
Disordered Eating Attitudes and its Psychological Determinants among Students in India: A Cross-sectional Study.,"Rajpurohit Siddheesh, Musunuri Balaji, Mohan Pooja Basthi, Shetty Shiran, Bhat Ganesh",Annals of African medicine (2025),"Eating disorders (EDs) are one of the least understood and most challenging to diagnose psychiatric disorders, seen particularly among adolescents. The current study sought to identify the psychological determinants that are associated with increased risk of EDs among students in India.",40758109,Social Anxiety Disorder
