title,authors,journal_info,abstract,pmid,search_query
Addressing Partial Volume Effects in Clinical PET Quantification: Modern Correction Strategies and Challenges.,"Marquis Harry, Erlandsson Kjell, Buvat Irène",PET clinics (2025),"Partial volume correction (PVC) is needed for an accurate quantification in clinical PET. Novel PVC methods can be divided into 4 categories: Post-reconstruction region-based methods, returning PVC regional values, making them suitable for quantification but not visual analysis ; post-reconstruction image enhancement techniques, either based on deconvolution or on the combination in the wavelet domain of PET functional information with high resolution information ; in-reconstruction resolution modelling, by incorporating a resolution model in an iterative reconstruction algorithm combined with regularization ; and deep learning-based approaches, which are based on networks that can be trained either with simulated data, real data, or data corrected with another PVC method, or can be self-supervised.",40813150,Medical Image Analysis
LR-COBRAS: A logic reasoning-driven interactive medical image data annotation algorithm.,"Zhou Ning, Cao Jiawei",Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society (2025),"The volume of image data generated in the medical field is continuously increasing. Manual annotation is both costly and prone to human error. Additionally, deep learning-based medical image algorithms rely on large, accurately annotated training datasets, which are expensive to produce and often result in instability. This study introduces LR-COBRAS, an interactive computer-aided data annotation algorithm designed for medical experts. LR-COBRAS aims to assist healthcare professionals in achieving more precise annotation outcomes through interactive processes, thereby optimizing medical image annotation tasks. The algorithm enhances must-link and cannot-link constraints during interactions through a logic reasoning module. It automatically generates potential constraint relationships, reducing the frequency of user interactions and improving clustering accuracy. By utilizing rules such as symmetry, transitivity, and consistency, LR-COBRAS effectively balances automation with clinical relevance. Experimental results based on the MedMNIST＋ dataset and ChestX-ray8 dataset demonstrate that LR-COBRAS significantly outperforms existing methods in clustering accuracy, efficiency, and interactive burden, showcasing superior robustness and applicability. This algorithm provides a novel solution for intelligent medical image analysis. The source code for our implementation is available on https://github.com/cjw-bbxc/MILR-COBRAS.",40812153,Medical Image Analysis
Recommendations for the use of functional medical imaging in the management of cancer of the cervix in New Zealand: a rapid review.,"Feng Shouzhuang, Mdletshe Sibusiso",The New Zealand medical journal (2025),We aimed to review the role of functional imaging in cervical cancer to underscore its significance in the diagnosis and management of cervical cancer and in improving patient outcomes.,40811845,Medical Image Analysis
Performance Evaluation of Deep Learning for the Detection and Segmentation of Thyroid Nodules: Systematic Review and Meta-Analysis.,"Ni Jiayu, You Yue, Wu Xiaohe, Chen Xueke, Wang Jiaying et al.",Journal of medical Internet research (2025),"Thyroid cancer is one of the most common endocrine malignancies. Its incidence has steadily increased in recent years. Distinguishing between benign and malignant thyroid nodules (TNs) is challenging due to their overlapping imaging features. The rapid advancement of artificial intelligence (AI) in medical image analysis, particularly deep learning (DL) algorithms, has provided novel solutions for automated TN detection. However, existing studies exhibit substantial heterogeneity in diagnostic performance. Furthermore, no systematic evidence-based research comprehensively assesses the diagnostic performance of DL models in this field.",40811738,Medical Image Analysis
Automatic Image Recognition Meal Reporting Among Young Adults: Randomized Controlled Trial.,"Sahoo Prasan Kumar, Chiu Sherry Yueh-Hsia, Lin Yu-Sheng, Chen Chien-Hung, Irianti Denisa et al.",JMIR mHealth and uHealth (2025),"Advances in artificial intelligence technology have raised new possibilities for the effective evaluation of daily dietary intake, but more empirical study is needed for the use of such technologies under realistic meal scenarios. This study developed an automated food recognition technology, which was then integrated into its previous design to improve usability for meal reporting. The newly developed app allowed for the automatic detection and recognition of multiple dishes within a single real-time food image as input. App performance was tested using young adults in authentic dining conditions.",40811729,Medical Image Analysis
Advanced Feature Extraction and Outlier Detection for 3D Biological/Biomedical Image Registration.,"Hamzehei Sahand, Bai Jun, Raimondi Gianna, Tripp Rebecca, Ostroff Linnaea et al.",IEEE transactions on computational biology and bioinformatics (2025),"3D image registration is essential in computer vision, medical imaging, and robotics. By aligning images from different perspectives into a single coordinate system, this approach provides a consistent viewpoint for analysis. Using accurate image alignment, we may compare, evaluate, and integrate data from different contexts. This paper describes a new method to register 3D or z-stack microscopy and medical image. It uses a hybrid of traditional and deep learning methods for feature extraction and adaptive likelihood-based methods for finding outliers. The proposed method uses the Scale-invariant Feature Transform (SIFT) and the Residual Network with 50 layers (ResNet50) to extract effective features to obtain precise and accurate representations of image contents. The registration approach also relies on the adaptive Maximum Likelihood Estimation SAmple Consensus (MLESAC) method, which optimizes outlier detection and increases noise and distortion resistance to improve the efficacy of these combined extracted features. This concatenation approach demonstrates robustness, flexibility, and adaptability across a variety of imaging modalities, enabling the registration of complex images with higher precision. Results show that the proposed algorithm outperforms commonly used registration methods, including SIFT, KAZE, Oriented FAST and Rotated BRIEF (ORB), and also registration software tools such as bUnwarpJ, and TurboReg. The algorithm's effectiveness is evaluated in terms of Mutual Information (MI), Phase Congruency-Based (PCB), and Gradient-Based Metrics (GBM). These metrics are applied to two types of datasets, including a brain scan dataset and 3D serial sections of multiplex microscopy image datasets.",40811303,Medical Image Analysis
Lung-DDPM: Semantic Layout-guided Diffusion Models for Thoracic CT Image Synthesis.,"Jiang Yifan, Lemarechal Yannick, Bafaro Josee, Abi-Rjeile Jessica, Joubert Philippe et al.",IEEE transactions on bio-medical engineering (2025),"With the rapid development of artificial intelligence (AI), AI-assisted medical imaging analysis demonstrates remarkable performance in early lung cancer screening. However, the costly annotation process and privacy concerns limit the construction of large-scale medical datasets, hampering the further application of AI in healthcare. To address the data scarcity in lung cancer screening, we propose Lung-DDPM, a thoracic CT image synthesis approach that effectively generates high-fidelity 3D synthetic CT images, which prove helpful in downstream lung nodule segmentation tasks. Our method is based on semantic layout-guided denoising diffusion probabilistic models (DDPM), enabling anatomically reasonable, seamless, and consistent sample generation even from incomplete semantic layouts. Our results suggest that the proposed method outperforms other state-of-the-art (SOTA) generative models in image quality evaluation and downstream lung nodule segmentation tasks. Specifically, Lung-DDPM achieved superior performance on our large validation cohort, with a Fréchet inception distance (FID) of 0.0047, maximum mean discrepancy (MMD) of 0.0070, and mean squared error (MSE) of 0.0024. These results were 7.4×, 3.1×, and 29.5× better than the second-best competitors, respectively. Furthermore, the lung nodule segmentation model, trained on a dataset combining real and Lung-DDPM-generated synthetic samples, attained a Dice Coefficient (Dice) of 0.3914 and sensitivity of 0.4393. This represents 8.8% and 18.6% improvements in Dice and sensitivity compared to the model trained solely on real samples. The experimental results highlight Lung-DDPM's potential for a broader range of medical imaging applications, such as general tumor segmentation, cancer survival estimation, and risk prediction. The code and pretrained models are available at https://github.com/Manem-Lab/Lung-DDPM/.",40811297,Medical Image Analysis
Instantaneous T2 Mapping via Reduced Field of View Multiple Overlapping-Echo Detachment Imaging: Application in Free-Breathing Abdominal and Myocardial Imaging.,"Dai Chenyang, Cai Congbo, Wu Jian, Zhu Liuhong, Qu Xiaobo et al.",IEEE transactions on bio-medical engineering (2025),"Quantitative magnetic resonance imaging (qMRI) has attracted more and more attention in clinical diagnosis and medical sciences due to its capability to non-invasively characterize tissue properties. Nevertheless, most qMRI methods are time-consuming and sensitive to motion, making them inadequate for quantifying organs with physiological movement. In this context, single-shot multiple overlapping-echo detachment (MOLED) imaging technique has been presented, but its acquisition efficiency and image quality are limited when the field of view (FOV) is smaller than the object, especially for abdominal organs and myocardium.",40811296,Medical Image Analysis
Head-to-Head Comparison between MRI and CT in the Evaluation of Volume and Quality of Epicardial Adipose Tissue.,"Firouznia Marjan, Molnar David, Edin Carl, Hjelmgren Ola, Östgren Carl-Johan et al.",Radiology. Cardiothoracic imaging (2025),"Purpose To systematically compare MRI- and CT-based measurements of both the volume and quality of epicardial adipose tissue (EAT). Materials and Methods This prospective study included participants from a subset of the Swedish CArdioPulmonary bioImage Study (SCAPIS) who underwent MRI and CT between November 2017 and July 2018. Dixon fat-water separation MR images were manually segmented, and a threshold-based approach based on a fat signal fraction (FSF) map was used to obtain the EAT volume. Within this EAT volume, the mean FSF was quantified as a measure of fat quality. EAT segmentation from CT images was performed using deep learning techniques, and the EAT volume and its mean attenuation were quantified. Correlation between MRI- and CT-based measurements of EAT volume and quality was assessed using the Pearson correlation coefficient. Results Ninety-two participants (mean age, 59 years ± 5 [SD]; 60 male participants) were included. The intermodality correlation for EAT volume was very strong (r = 0.92, P < .001), with systematically larger values for CT versus MRI (P < .001). There was a strong negative correlation between MRI FSF and CT attenuation (r = -0.72, P < .001). Repeatability analysis for assessment of MRI EAT volume showed good interreader agreement (intraclass correlation coefficient, 0.86) and excellent intrareader agreement (intraclass correlation coefficient, 0.96). Conclusion Correlation between MRI and CT was very strong for EAT volume and strong for EAT quality. Keywords: Cardiac, Adipose Tissue (Obesity Studies), Epicardial Fat, Heart, Tissue Characterization, Comparative Studies, Magnetic Resonance Imaging, Computed Tomography, Fat Signal Fraction, Fat Attenuation Published under a CC BY 4.0 license.",40810643,Medical Image Analysis
Early Diagnosis of Knee Osteoarthritis With a Natural Language Processing-Driven Approach Based on Clinician Notes: Development and Validation Study.,"Thanyakunsajja Narathip, Jitkajornwanich Kulsawasd, Xu Shan, Shin Donghee, Charoenporn Pattama",JMIR formative research (2025),"Knee osteoarthritis (OA) is a common form of knee arthritis that can cause significant disability and affect a patient's quality of life. Although this disease is chronic and irreversible, the patient's condition can be improved and the progression of the disease can be prevented if the disease is diagnosed early and the patient receives appropriate treatment immediately. Therefore, the prediction of knee OA is considered one of the essential steps to effectively diagnose and prevent further severe OA conditions. Knee OA is commonly diagnosed by medical experts or physicians, and the diagnosis of OA is mainly based on patients' laboratory results and medical images, including x-ray and magnetic resonance images. However, diagnosis through such data is often time-consuming. Moreover, the diagnosis results can vary among physicians depending on their expertise. Previous studies mostly focused on using approaches, such as those involving artificial intelligence, to automatically detect knee OA through such data. However, these studies did not incorporate clinicians' or doctors' notes (text data) into the analysis, although these data involving reported symptoms and behaviors are already available and easier to collect and access than laboratory data and image data.",40810448,Medical Image Analysis
Artificial intelligence across the cancer care continuum.,"Riaz Irbaz Bin, Khan Muhammad Ali, Osterman Travis J",Cancer (2025),"Artificial intelligence (AI) holds significant potential to enhance various aspects of oncology, spanning the cancer care continuum. This review provides an overview of current and emerging AI applications, from risk assessment and early detection to treatment and supportive care. AI-driven tools are being developed to integrate diverse data sources, including multi-omics and electronic health records, to improve cancer risk stratification and personalize prevention strategies. In screening and diagnosis, AI algorithms show promise in augmenting the accuracy and efficiency of medical image analysis and histopathology interpretation. AI also offers opportunities to refine treatment planning, optimize radiation therapy, and personalize systemic therapy selection. Furthermore, AI is explored for its potential to improve survivorship care by tailoring interventions and to enhance end-of-life care through improved symptom management and prognostic modeling. Beyond care delivery, AI augments clinical workflows, streamlines the dissemination of up-to-date evidence, and captures critical patient-reported outcomes for clinical decision support and outcomes assessment. However, the successful integration of AI into clinical practice requires addressing key challenges, including rigorous validation of algorithms, ensuring data privacy and security, and mitigating potential biases. Effective implementation necessitates interdisciplinary collaboration and comprehensive education for health care professionals. The synergistic interaction between AI and clinical expertise is crucial for realizing the potential of AI to contribute to personalized and effective cancer care. This review highlights the current state of AI in oncology and underscores the importance of responsible development and implementation.",40810209,Medical Image Analysis
Inflammation mediated brain damage and cytokine expression in a maternally derived murine model for preterm hypoxic-ischemic encephalopathy.,"Hillman Tyler C, Jacobson Braeden, Piaggio Hurtado De Medoza Kiara, Lopez Marlene, Iwakoshi Nicholas et al.",Frontiers in systems biology (2025),"Preterm hypoxic-ischemic encephalopathy (pHIE) is a complex brain injury that contributes to chronic neural inflammation and neurological disorders. The signs and symptoms of in utero pHIE can often be overlooked, untreated or lumped into more generic conditions such as encephalopathy of prematurity (EOP). Clinical interventions like hypothermia and erythropoietin do not improve pHIE. We characterized a murine model for pHIE, which includes hypoxia and maternal factors as a cost-effective alternative to large animal models of HIE.",40810121,Medical Image Analysis
Surgical Innovations in Otolaryngology: A Critical Analysis of Emerging Techniques and Technologies.,"Naqvi Bushra, Ameen Samreen, Batool Syeda Wajiha, Riaz Maryum, Umer Muhammad Rizwan et al.",Cureus (2025),"Introduction An evaluation of new methods of surgery in otolaryngology is done with emphasis on four advanced surgical techniques: transoral robotic surgery (TORS), image-guided sinus surgery (IGSS), endoscopic skull base surgery, and 3D-printed implant-assisted procedures. The study evaluated a sample of 300 patients from Pakistan, ensuring that the evaluation was done in the light of these technologies vis-à-vis traditional ones. Objectives The aim of this study was to evaluate the impact of such surgical innovations in terms of quality of life (QoL), complication rates, follow-up compliance, and intra-operative parameters. In addition, this study aimed to identify predictors for postoperative complications, thereby profiling potential selection biases for using these advanced techniques in surgical interventions. Methodology A retrospective cohort analysis of 300 patients was conducted, including demographic variables, clinical events, tumor volumes, and comorbidities according to the Charlson Comorbidity Index and frailty scores. Assessment of postoperative outcome parameters included QoL, complication events, and intensive care unit (ICU) stay. A random forest model was trained to predict postoperative complications and showed an accuracy of 86.7% with an AUC-ROC of 0.91. Results The TORS and 3D-printed implant groups performed much better, showing significantly higher QoL scores (84.3 and 82.5 on average), low complication rates (9.7% and 6.8%), and high follow-up compliance (87% and 84%). They also show less blood loss and less time in ICUs. However, far fewer comorbidities and smaller tumors were found in these patients, which points toward a selection bias. Conclusion Emerging surgical innovations in otolaryngology, such as TORS and 3D-printed implants, create remarkable benefits in clinical scenarios associated with QoL and complications. However, patient selection bias creates barriers to realizing equitable access to the technologies, creating space for argumentation about evidence-based practice in clinical decision-making.",40809627,Medical Image Analysis
ChatGPT-4 Vision: a promising tool for diagnosing thyroid nodules.,"Hong Dao-Rong, Huang Chun-Yan, Zhong Huo-Hu, Lyu Guo-Rong",Frontiers in medicine (2025),This study aims to evaluate the application of ChatGPT-4 Vision in the ultrasonic image analysis of thyroid nodules by comparing its diagnostic efficacy and consistency with those of sonographers.,40809414,Medical Image Analysis
Classifying brain metastases originating from different pathological subtypes of lung cancer via a multimodal magnetic resonance imaging-based deep learning approach.,"Cao Jinfeng, Liu Yangyingqiu, Feng Tao, Hu Zhaoliang, Zheng Hao et al.",Journal of thoracic disease (2025),"The prompt, efficient, and noninvasive classification of brain metastases (BMs) originating from different pathological subtypes of lung cancer remains a challenging task to undertake in clinic. Therefore, we aimed to investigate the feasibility of a deep learning (DL) approach based on multimodal magnetic resonance imaging (MRI) in classifying BMs originating from different pathological subtypes of lung cancer.",40809217,Medical Image Analysis
Integrated neural network framework for multi-object detection and recognition using UAV imagery.,"Alshehri Mohammed, Xue Tingting, Mujtaba Ghulam, AlQahtani Yahya, Almujally Nouf Abdullah et al.",Frontiers in neurorobotics (2025),"Accurate vehicle analysis from aerial imagery has become increasingly vital for emerging technologies and public service applications such as intelligent traffic management, urban planning, autonomous navigation, and military surveillance. However, analyzing UAV-captured video poses several inherent challenges, such as the small size of target vehicles, occlusions, cluttered urban backgrounds, motion blur, and fluctuating lighting conditions which hinder the accuracy and consistency of conventional perception systems. To address these complexities, our research proposes a fully end-to-end deep learning-driven perception pipeline specifically optimized for UAV-based traffic monitoring. The proposed framwork integrates multiple advanced modules: RetinexNet for preprocessing, segmentation using HRNet to preserve high-resolution semantic information, and vehicle detection using the YOLOv11 framework. Deep SORT is employed for efficient vehicle tracking, while CSRNet facilitates high-density vehicle counting. LSTM networks are integrated to predict vehicle trajectories based on temporal patterns, and a combination of DenseNet and SuperPoint is utilized for robust feature extraction. Finally, classification is performed using Vision Transformers (ViTs), leveraging attention mechanisms to ensure accurate recognition across diverse categories. The modular yet unified architecture is designed to handle spatiotemporal dynamics, making it suitable for real-time deployment in diverse UAV platforms.",40809070,Medical Image Analysis
Dual-Path Adversarial Denoising Network Based on UNet.,"Yu Jinchi, Zhou Yu, Sun Mingchen, Wang Dadong","Sensors (Basel, Switzerland) (2025)","Digital image quality is crucial for reliable analysis in applications such as medical imaging, satellite remote sensing, and video surveillance. However, traditional denoising methods struggle to balance noise removal with detail preservation and lack adaptability to various types of noise. We propose a novel three-module architecture for image denoising, comprising a generator, a dual-path-UNet-based denoiser, and a discriminator. The generator creates synthetic noise patterns to augment training data, while the dual-path-UNet denoiser uses multiple receptive field modules to preserve fine details and dense feature fusion to maintain global structural integrity. The discriminator provides adversarial feedback to enhance denoising performance. This dual-path adversarial training mechanism addresses the limitations of traditional methods by simultaneously capturing both local details and global structures. Experiments on the SIDD, DND, and PolyU datasets demonstrate superior performance. We compare our architecture with the latest state-of-the-art GAN variants through comprehensive qualitative and quantitative evaluations. These results confirm the effectiveness of noise removal with minimal loss of critical image details. The proposed architecture enhances image denoising capabilities in complex noise scenarios, providing a robust solution for applications that require high image fidelity. By enhancing adaptability to various types of noise while maintaining structural integrity, this method provides a versatile tool for image processing tasks that require preserving detail.",40807920,Medical Image Analysis
Highly Accelerated Dual-Pose Medical Image Registration via Improved Differential Evolution.,"Zhou Dibin, Xing Fengyuan, Liu Wenhao, Liu Fuchang","Sensors (Basel, Switzerland) (2025)","Medical image registration is an indispensable preprocessing step to align medical images to a common coordinate system before in-depth analysis. The registration precision is critical to the following analysis. In addition to representative image features, the initial pose settings and multiple poses in images will significantly affect the registration precision, which is largely neglected in state-of-the-art works. To address this, the paper proposes a dual-pose medical image registration algorithm based on improved differential evolution. More specifically, the proposed algorithm defines a composite similarity measurement based on contour points and utilizes this measurement to calculate the similarity between frontal-lateral positional DRR (Digitally Reconstructed Radiograph) images and X-ray images. In order to ensure the accuracy of the registration algorithm in particular dimensions, the algorithm implements a dual-pose registration strategy. A PDE (Phased Differential Evolution) algorithm is proposed for iterative optimization, enhancing the optimization algorithm's ability to globally search in low-dimensional space, aiding in the discovery of global optimal solutions. Extensive experimental results demonstrate that the proposed algorithm provides more accurate similarity metrics compared to conventional registration algorithms; the dual-pose registration strategy largely reduces errors in specific dimensions, resulting in reductions of 67.04% and 71.84%, respectively, in rotation and translation errors. Additionally, the algorithm is more suitable for clinical applications due to its lower complexity.",40807770,Medical Image Analysis
